@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute 'PiggyBank X' numeric
@attribute 'PiggyBank Y' numeric
@attribute 'PiggyBank Z' numeric
@attribute 'Camera Position X' numeric
@attribute 'Camera Position Y' numeric
@attribute 'Camera Position Z' numeric
@attribute 'Camera Rotation X' numeric
@attribute 'Camera Rotation Y' numeric
@attribute 'Camera Rotation Z' numeric
@attribute 'Don\'t Touch X' numeric
@attribute 'Water Volume Rise' numeric
@attribute 'Don\'t Touch Z' numeric

@data
5208,'2024/04/19 15:32:19:819',16,-0.063091,-0.004504,-0.997998,0.044517,-0.003441,-0.009325,?,?,?,?,?,?,?,?,?,?,?,?
5209,'2024/04/19 15:32:19:830',16,-0.063091,-0.004504,-0.997991,0.044517,-0.003441,-0.009325,?,?,?,?,?,?,?,?,?,?,?,?
5210,'2024/04/19 15:32:19:830',16,-0.063091,-0.005004,-0.997991,0.044517,-0.003441,-0.009325,?,?,?,?,?,?,?,?,?,?,?,?
5211,'2024/04/19 15:32:19:830',16,-0.063161,-0.005004,-0.997991,0.044517,-0.003441,-0.009325,?,?,?,?,?,?,?,?,?,?,?,?
5212,'2024/04/19 15:32:19:830',16,-0.063161,-0.005004,-0.997991,0.044517,-0.003441,-0.012982,?,?,?,?,?,?,?,?,?,?,?,?
5213,'2024/04/19 15:32:19:830',16,-0.063161,-0.005004,-0.997991,0.044517,-0.002098,-0.012982,?,?,?,?,?,?,?,?,?,?,?,?
5214,'2024/04/19 15:32:19:832',16,-0.063161,-0.005004,-0.997991,0.019559,-0.002098,-0.012982,?,?,?,?,?,?,?,?,?,?,?,?
5215,'2024/04/19 15:32:19:853',16,-0.063161,-0.005004,-0.997992,0.019559,-0.002098,-0.012982,?,?,?,?,?,?,?,?,?,?,?,?
5216,'2024/04/19 15:32:19:853',16,-0.063161,-0.005177,-0.997992,0.019559,-0.002098,-0.012982,?,?,?,?,?,?,?,?,?,?,?,?
5217,'2024/04/19 15:32:19:853',16,-0.063124,-0.005177,-0.997992,0.019559,-0.002098,-0.012982,?,?,?,?,?,?,?,?,?,?,?,?
5218,'2024/04/19 15:32:19:853',16,-0.063124,-0.005177,-0.997992,0.019559,-0.002098,-0.012252,?,?,?,?,?,?,?,?,?,?,?,?
5219,'2024/04/19 15:32:19:853',16,-0.063124,-0.005177,-0.997992,0.019559,0.009422,-0.012252,?,?,?,?,?,?,?,?,?,?,?,?
5220,'2024/04/19 15:32:19:853',16,-0.063124,-0.005177,-0.997992,0.008383,0.009422,-0.012252,?,?,?,?,?,?,?,?,?,?,?,?
5221,'2024/04/19 15:32:19:860',16,-0.063124,-0.005177,-0.998005,0.008383,0.009422,-0.012252,?,?,?,?,?,?,?,?,?,?,?,?
5222,'2024/04/19 15:32:19:861',16,-0.063124,-0.005421,-0.998005,0.008383,0.009422,-0.012252,?,?,?,?,?,?,?,?,?,?,?,?
